"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,0,0,0,0,0,0,0.0208289939595918,0,0.0208289939595918
"2",0,0,0,0.0222172850477672,0,0.0222172850477672,0,0.0222172850477672,0.0222172850477672,0.0222172850477672
"3",0,0,0,0,0,0,0.01960399921584,0.01960399921584,0,0.01960399921584
"4",0,0.0666444518493835,0.0666444518493835,0,0.0333222259246918,0,0,0.0999666777740753,0.0666444518493835,0.0666444518493835
"5",0,0.0908677873693775,0.0454338936846888,0,0.0454338936846888,0,0,0.0908677873693775,0.0454338936846888,0.0908677873693775
"6",0.0317409934930963,0.0317409934930963,0,0.0317409934930963,0.0158704967465482,0,0.0158704967465482,0.0317409934930963,0.0476114902396445,0.0317409934930963
"7",0.0188643652141105,0,0,0.0377287304282211,0,0.0754574608564422,0.0188643652141105,0,0.0943218260705527,0
"8",0.0102030405060708,0.0306091215182124,0,0.0102030405060708,0.0408121620242832,0.0102030405060708,0,0.0306091215182124,0.0306091215182124,0.0714212835424957
"9",0,0.0238038562247084,0,0,0.0238038562247084,0,0,0.0238038562247084,0.0238038562247084,0.0714115686741252
"10",0,0.0344768143423548,0.0172384071711774,0,0.0172384071711774,0,0.0172384071711774,0.0517152215135322,0.0172384071711774,0.0689536286847095
"11",0,0,0,0,0,0,0,0,0,0.0256344527044348
"12",0,0.0243842965130456,0,0,0,0,0,0,0,0
"13",0,0,0,0,0.0238038562247084,0,0.0476077124494168,0.0476077124494168,0,0.119019281123542
"14",0,0,0,0,0,0,0,0.0454338936846888,0,0.0908677873693775
"15",0,0,0,0,0,0,0,0.0908265213442325,0,0.0908265213442325
"16",0,0,0,0,0,0.0312402374258044,0,0.0624804748516089,0.0312402374258044,0.0312402374258044
"17",0,0,0,0,0.0624609618988132,0,0,0.0624609618988132,0,0.0624609618988132
"18",0,0.028165047176454,0,0,0,0,0,0.042247570764681,0,0.042247570764681
"19",0,0.039984006397441,0,0,0,0,0,0.039984006397441,0.039984006397441,0.159936025589764
"20",0,0,0,0,0,0,0,0.0967429861335053,0,0.0967429861335053
"21",0,0,0,0,0,0,0,0.0238038562247084,0,0.0238038562247084
"22",0,0,0,0,0,0,0,0.153727901614143,0,0.0768639508070715
"23",0,0,0,0.00699251800573387,0.00699251800573387,0,0,0.0419551080344032,0.00699251800573387,0.0489476260401371
"24",0,0,0,0,0,0,0.0270197243988111,0,0,0.0810591731964334
"25",0,0,0,0,0,0,0,0.0357015351660121,0,0.0357015351660121
"26",0,0.0235266439242442,0,0,0,0,0,0,0.0117633219621221,0.0235266439242442
"27",0,0.0357015351660121,0,0,0,0,0,0,0.0357015351660121,0.0357015351660121
"28",0,0.0713775874375446,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0.0256344527044348,0,0.0512689054088695
"30",0,0,0,0.0109878035380727,0,0.0109878035380727,0,0.0109878035380727,0.0109878035380727,0.0109878035380727
"31",0,0,0,0,0,0,0,0.0263088660878716,0,0.0263088660878716
"32",0,0.0188661447033299,0,0,0.00943307235166494,0,0.00943307235166494,0.0282992170549948,0,0.0282992170549948
"33",0,0,0,0,0.0384467512495194,0,0,0.0384467512495194,0.0384467512495194,0.0384467512495194
"34",0,0,0,0,0,0,0,0,0,0
"35",0.0768639508070715,0,0,0,0,0,0,0,0.0768639508070715,0
"36",0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0
"38",0,0.013331555792561,0,0,0.013331555792561,0,0.013331555792561,0.013331555792561,0.013331555792561,0.039994667377683
"39",0,0.0222172850477672,0,0.0222172850477672,0.0222172850477672,0.0222172850477672,0.0222172850477672,0.0222172850477672,0,0.0222172850477672
"40",0,0.041649312786339,0,0,0.041649312786339,0.041649312786339,0.041649312786339,0,0,0.124947938359017
"41",0,0,0,0,0,0,0,0,0,0.0526038926880589
"42",0,0.049987503124219,0,0.0249937515621095,0.0749812546863284,0,0.0249937515621095,0.049987503124219,0.0249937515621095,0.124968757810547
"43",0,0,0,0,0,0,0,0,0,0.117577895355673
"44",0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0.0384467512495194
"47",0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0.0333222259246918,0,0.0333222259246918,0.0333222259246918,0
"49",0,0.0222172850477672,0,0,0.0444345700955343,0.0222172850477672,0.0222172850477672,0.0222172850477672,0,0.111086425238836
"50",0,0.0312402374258044,0,0,0.0312402374258044,0,0.0312402374258044,0.0312402374258044,0,0.0937207122774133
"51",0,0,0,0,0,0,0,0.0714030703320243,0,0.0714030703320243
"52",0,0,0,0,0,0,0,0,0,0.0555247084952804
"53",0,0,0,0,0,0,0,0,0,0.0588062334607468
"54",0,0.041649312786339,0,0,0.041649312786339,0,0.041649312786339,0.041649312786339,0,0.083298625572678
"55",0,0.0384467512495194,0,0,0.0768935024990388,0,0.0384467512495194,0.0768935024990388,0.0384467512495194,0.153787004998078
"56",0,0.0277700638711469,0,0,0.0555401277422938,0.0277700638711469,0.0277700638711469,0.0833101916134407,0.0277700638711469,0.0833101916134407
"57",0,0,0,0,0,0,0,0,0,0.0344708721130645
"58",0,0.0399920015996801,0.01999600079984,0,0.01999600079984,0,0.01999600079984,0.0399920015996801,0.0799840031993601,0.0399920015996801
"59",0,0.0243842965130456,0,0,0.0243842965130456,0,0.0243842965130456,0.0243842965130456,0,0.0487685930260912
"60",0,0.0370233246945576,0,0,0.0370233246945576,0,0.0370233246945576,0.0370233246945576,0,0.111069974083673
"61",0,0,0,0.0370233246945576,0.0370233246945576,0.0370233246945576,0,0.0370233246945576,0.0740466493891151,0.0740466493891151
"62",0.0116265550517382,0.0232531101034763,0.0116265550517382,0.0116265550517382,0,0.0232531101034763,0,0.0232531101034763,0.0232531101034763,0.0465062202069527
"63",0,0,0,0.0188643652141105,0.0188643652141105,0,0,0.0377287304282211,0,0.0377287304282211
"64",0,0,0,0,0,0,0,0.0238038562247084,0,0
"65",0,0,0,0,0,0,0,0,0,0
"66",0.0277700638711469,0,0,0.0555401277422938,0,0,0,0.0277700638711469,0,0.0277700638711469
"67",0,0,0,0,0,0,0,0,0,0.0444345700955343
"68",0,0.0333222259246918,0,0,0,0,0,0,0,0.0333222259246918
"69",0,0.0294031167303734,0,0,0,0.0294031167303734,0,0,0.0294031167303734,0.0882093501911203
"70",0,0,0,0,0.0384467512495194,0.0384467512495194,0,0.0384467512495194,0.0384467512495194,0.0384467512495194
"71",0.0344708721130645,0.172354360565322,0.0344708721130645,0.0689417442261289,0.0689417442261289,0.0344708721130645,0.103412616339193,0.0689417442261289,0.103412616339193,0.0689417442261289
"72",0.0499750124937531,0.0499750124937531,0,0.0999500249875062,0,0.0999500249875062,0,0.0499750124937531,0.0999500249875062,0
"73",0,0,0,0.124843945068664,0,0.124843945068664,0,0,0.124843945068664,0.124843945068664
"74",0,0,0,0,0,0,0,0,0,0
"75",0,0.0571265352756355,0,0,0.0285632676378178,0,0.0285632676378178,0.0285632676378178,0,0.0285632676378178
"76",0,0,0,0.0151492198151795,0,0,0,0.0151492198151795,0.030298439630359,0.0151492198151795
"77",0,0,0,0,0,0,0,0,0.039984006397441,0.039984006397441
"78",0,0,0,0,0,0,0,0,0,0.0526038926880589
"79",0,0,0,0,0,0,0,0,0,0
"80",0.0322476620445018,0.0322476620445018,0.0322476620445018,0.0322476620445018,0,0.0322476620445018,0,0.0322476620445018,0.0322476620445018,0
"81",0,0,0,0,0,0,0,0,0,0.0263088660878716
"82",0,0,0,0,0,0,0,0,0,0.041649312786339
"83",0,0.0222172850477672,0,0,0.0222172850477672,0,0,0.0222172850477672,0,0.0222172850477672
"84",0,0,0,0.02040399918384,0,0,0,0.02040399918384,0,0
"85",0,0.0555401277422938,0,0,0.0277700638711469,0,0,0.0277700638711469,0,0.0833101916134407
"86",0,0,0.0263088660878716,0.0263088660878716,0,0,0,0.0789265982636148,0.0263088660878716,0
"87",0,0.0188643652141105,0,0,0.0188643652141105,0.0188643652141105,0.0377287304282211,0.0565930956423316,0.0188643652141105,0.0377287304282211
"88",0,0,0.0312402374258044,0,0.0312402374258044,0,0,0.0624804748516089,0.0312402374258044,0.0624804748516089
"89",0,0,0,0,0,0,0,0,0,0
"90",0,0.0102030405060708,0,0.0102030405060708,0.0102030405060708,0.0102030405060708,0,0.0306091215182124,0.0102030405060708,0.0306091215182124
"91",0,0.0217344055640078,0,0,0,0,0,0.0217344055640078,0,0.0434688111280156
"92",0,0,0,0,0,0,0,0.0384467512495194,0,0.0384467512495194
"93",0,0,0,0,0,0.0256344527044348,0,0,0.0256344527044348,0
"94",0,0,0.0163907556138338,0,0,0,0,0.0163907556138338,0,0.0327815112276676
"95",0,0,0,0,0,0,0,0.0285632676378178,0,0.0571265352756355
"96",0,0.0222172850477672,0,0,0.0444345700955343,0,0,0.0444345700955343,0.0222172850477672,0.0888691401910687
"97",0,0,0,0,0,0,0,0,0,0
"98",0,0.0249937515621095,0,0,0,0,0,0.0249937515621095,0,0.0999750062484379
"99",0,0,0,0,0,0,0,0,0,0
"100",0,0.0232504068821204,0,0,0,0,0,0.0232504068821204,0,0
"101",0,0,0,0,0,0,0,0,0,0
"102",0,0.0576812151509325,0,0.0192270717169775,0,0,0,0.038454143433955,0.038454143433955,0.0192270717169775
"103",0,0.0115825643797537,0.00386085479325123,0.00772170958650245,0.0193042739662561,0.00772170958650245,0.00386085479325123,0.0154434191730049,0.0115825643797537,0.0424694027257635
"104",0,0.0138869601444244,0,0.0138869601444244,0.0277739202888488,0.0138869601444244,0,0.0138869601444244,0.0138869601444244,0.0972087210109707
"105",0,0,0,0,0,0,0,0.0644953240890035,0,0.0644953240890035
"106",0,0.0285632676378178,0,0,0,0,0,0.0856898029134533,0,0.0856898029134533
"107",0,0.0217344055640078,0,0,0.0217344055640078,0,0.0217344055640078,0.0434688111280156,0.0217344055640078,0.0652032166920235
"108",0,0,0,0,0.0370233246945576,0,0,0.0370233246945576,0,0.0370233246945576
"109",0,0,0,0,0,0,0,0,0,0
"110",0,0,0,0,0.0587889476778366,0,0,0.0587889476778366,0,0.0587889476778366
"111",0,0.041649312786339,0,0.041649312786339,0,0,0.041649312786339,0,0.041649312786339,0
"112",0,0,0,0,0,0,0,0.0555247084952804,0,0.166574125485841
"113",0,0.0384467512495194,0,0,0,0,0,0,0,0
"114",0,0.0312402374258044,0,0,0.0312402374258044,0,0,0,0,0.0312402374258044
"115",0,0.0312402374258044,0,0,0.0312402374258044,0,0,0.0624804748516089,0,0.156201187129022
