"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,0.0370233246945576,0,0,0.0370233246945576,0,0,0.0370233246945576,0,0.14809329877823
"2",0,0.0999000999000999,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0
"4",0,0.0555247084952804,0.0555247084952804,0,0.0555247084952804,0,0,0,0,0.0555247084952804
"5",0,0.041649312786339,0,0.041649312786339,0,0.041649312786339,0,0,0,0.041649312786339
"6",0,0,0,0,0,0,0,0.166389351081531,0,0.166389351081531
"7",0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0.0587889476778366,0,0
"11",0,0,0,0,0,0,0,0.0475963826749167,0.0475963826749167,0.14278914802475
"12",0,0,0,0,0,0,0,0,0,0.110987791342952
"13",0,0,0,0,0,0,0,0,0,0.124843945068664
"14",0.0624609618988132,0,0,0,0,0.0624609618988132,0,0,0.0624609618988132,0.0624609618988132
"15",0,0,0,0,0.0434593654932638,0,0,0.0434593654932638,0,0.0869187309865276
"16",0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0.039984006397441,0,0.039984006397441
"18",0,0,0,0,0.0555247084952804,0,0,0,0,0.166574125485841
"19",0,0,0,0,0.0384467512495194,0,0,0.0768935024990388,0,0.0768935024990388
"20",0,0,0,0,0,0,0,0.0526038926880589,0,0.0526038926880589
"21",0,0.0277700638711469,0,0,0,0,0,0.0555401277422938,0,0.0277700638711469
"22",0,0,0,0.0322476620445018,0,0,0.0322476620445018,0.0967429861335053,0.0644953240890035,0.0644953240890035
"23",0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0.166527893422148
"26",0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0.0908265213442325,0,0.0908265213442325
"28",0,0,0,0,0,0,0,0,0,0.332778702163062
"29",0,0,0,0,0,0,0,0.0713775874375446,0,0.214132762312634
"30",0,0,0,0,0,0,0,0.0713775874375446,0,0.0713775874375446
"31",0,0,0,0,0,0,0,0.0294031167303734,0,0.0294031167303734
"32",0,0,0,0,0,0,0,0.14265335235378,0,0.14265335235378
"33",0,0,0,0,0,0,0,0.0312402374258044,0,0.0624804748516089
"34",0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0.041649312786339,0,0.041649312786339
"36",0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0.0624609618988132,0,0.0624609618988132
"38",0,0,0,0,0,0,0,0,0,0
"39",0,0,0.0666222518321119,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0.0357015351660121,0,0
"41",0,0,0,0,0,0,0,0.0312402374258044,0,0.0624804748516089
"42",0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0.0999500249875062
"44",0,0,0,0,0,0,0,0.0624609618988132,0,0.0624609618988132
"45",0,0.117577895355673,0,0,0.117577895355673,0,0.117577895355673,0.117577895355673,0,0.117577895355673
